OBJECT,source,Teff,e_Teff,[Fe/H],e_[Fe/H],log(g),e_log(g),FILE,simbadnames_x,ID_NAME,OBJECT_ID,filename,exptime,EXTSNR,qprog,rv,basenames,simbadnames_y
GJ_745_A,Mann,3500,60,-0.33,0.08,4.927,0.05,N/A,GJ 745 A|HIP 93873|Gaia DR3 4519789321942643072|TIC 384491142|PLX 4451|LSPM J1907+2053|ASCC  800727|UCAC2  39189853|USNO-B1.0 1108-00373266|CCDM J19072+2053A|CSI+20-19050|Ci 20 1129|G 184-48|G 185-3|GAT  153|GCRV 11580|HIC  93873|IDS 19029+2044 A|LFT 1449|LHS  3432|LTT 15601|NLTT 47424|PM 19050+2049|Ross  730|TYC 1598-325-1|Zkh 284|[RHG95]  3004|2MASS J19070556+2053168|WISEP J190705.22+205313.4|WDS J19072+2053B|** LDS 1017B|UCAC4 555-082340|PM J19070+2053|Gaia DR1 4519789317615004800|Gaia DR2 4519789321933481856|Karmn J19070+208|,Gaia DR3 4519789321942643072,TIC 384491142,./library/20240715_specmatch_nir/FITS/neidL2_20220610T082851.fits,899.844,43.7753,2022A-452266,32.3717,neidL2_20220610T082851.fits,TIC_384491142|PLX_4451|LSPM_J1907+2053|ASCC__800727|UCAC2__39189853|USNO-B1.0_1108-00373266|CCDM_J19072+2053A|CSI+20-19050|Ci_20_1129|G_184-48|G_185-3|GAT__153|GCRV_11580|GJ___745_A|HIC__93873|HIP__93873|IDS_19029+2044_A|LFT_1449|LHS__3432|LTT_15601|NLTT_47424|PM_19050+2049|Ross__730|TYC_1598-325-1|Zkh_284|[RHG95]__3004|2MASS_J19070556+2053168|WISEP_J190705.22+205313.4|WDS_J19072+2053B|**_LDS_1017B|UCAC4_555-082340|PM_J19070+2053|Gaia_DR1_4519789317615004800|Gaia_DR2_4519789321933481856|Karmn_J19070+208
GJ_3072,Gaidos,3967,301.067,-0.19,0.1,4.72,0.12,N/A,GJ 3072|HIP 4845|Gaia DR3 2473055951588089088|MCC 3|TIC 24250831|2MASS J01022113-1025256|PLX  208|BD-11   192|GCRV   590|GEN# -0.01100192|GSC 05273-01440|HIC   4845|PPM 209648|TYC 5273-1440-1|UGP  15|[RHG95]   203|PLX  208.00|WISEA J010221.15-102527.7|Gaia DR1 2473055947291890816|WEB   934|Gaia DR2 2473055951588089088|,Gaia DR3 2473055951588089088,TIC 24250831,./library/20240715_specmatch_nir/FITS/neidL2_20211219T055002.fits,899.831,30.6263,2021B-0435,9.39051,neidL2_20211219T055002.fits,TIC_24250831|2MASS_J01022113-1025256|PLX__208|BD-11___192|GCRV___590|GEN#_-0.01100192|GJ__3072|GSC_05273-01440|HIC___4845|HIP___4845|MCC___3|PPM_209648|TYC_5273-1440-1|UGP__15|[RHG95]___203|PLX__208.00|WISEA_J010221.15-102527.7|Gaia_DR1_2473055947291890816|WEB___934|Gaia_DR2_2473055951588089088
GJ_105_B,Mann,3284,60,-0.12,0.03,4.941,0.049,N/A,GJ 105 B|AP J02361535+0652191|Gaia DR3 18565464288396416|MCC 396|TIC 278962913|LSPM J0236+0652|2MASS J02361535+0652191|USNO-B1.0 0968-00026146|8pc 138.72B|CCDM J02361+0653B|CSI+06   398  2|Ci 20  175|G  73-71|G  76-12|GEN# +1.00016160B|GEN# +1.20016160|GEN# +9.80073071|GSC 00052-00151|IDS 02307+0626 B|LFT  218|LHS    16|LTT 10859|NLTT  8455|UBV    2587|USNO 802|V* BX Cet|Zkh  44|[R78b] 153|[RHG95]   463|vMa 2-3|** PLQ   32B|WDS J02361+0653C|AKARI-IRC-V1 J0236161+065228|WISE J023616.50+065233.0|PMSC 02307+0626B|Gaia DR2 18565464288396416|WISEA J023616.52+065232.9|UCAC4 485-003632|PM J02362+0652|Karmn J02362+068|,Gaia DR3 18565464288396416,TIC 278962913,./library/20240715_specmatch_nir/FITS/neidL2_20211220T062240.fits,899.825,34.1012,2021B-0435,26.2741,neidL2_20211220T062240.fits,TIC_278962913|LSPM_J0236+0652|2MASS_J02361535+0652191|USNO-B1.0_0968-00026146|8pc_138.72B|CCDM_J02361+0653B|CSI+06___398__2|Ci_20__175|G__73-71|G__76-12|GEN#_+1.00016160B|GEN#_+1.20016160|GEN#_+9.80073071|GJ___105_B|GSC_00052-00151|IDS_02307+0626_B|LFT__218|LHS____16|LTT_10859|MCC_396|NLTT__8455|UBV____2587|USNO_802|V*_BX_Cet|Zkh__44|[R78b]_153|[RHG95]___463|vMa_2-3|**_PLQ___32B|WDS_J02361+0653C|AKARI-IRC-V1_J0236161+065228|WISE_J023616.50+065233.0|PMSC_02307+0626B|Gaia_DR2_18565464288396416|WISEA_J023616.52+065232.9|UCAC4_485-003632|PM_J02362+0652|Karmn_J02362+068
GJ_70,Mann,3458,60,-0.13,0.08,4.808,0.05,N/A,GJ 70|HIP 8051|Gaia DR3 2560771312759450496|StKM 2-154|MCC 93|TIC 369534824|2MASS J01432015+0419172|PLX  363.1|LSPM J0143+0419|ASCC 1096514|UCAC2  33162859|USNO-B1.0 0943-00016573|AC +03  2259-0|AC +04  2595-239|CSI+04-01408|G   3-14|G  71-28|GCRV 51952|GEN# +9.80003014|GEN# +6.10010070|HIC   8051|LFT 1851|LHS  1290|LTT 10604|NLTT  5733|PM 01408+0405|TYC   32-1005-1|UBV M  42923|Zkh  32|[R78b]  77|[RHG95]   319|PLX  363.10|WISEA J014319.89+041910.0|UCAC4 472-002320|PM J01433+0419|Gaia DR1 2560771342823697152|WEB  1724|Gaia DR2 2560771312759450496|Karmn J01433+043|,Gaia DR3 2560771312759450496,TIC 369534824,./library/20240715_specmatch_nir/FITS/neidL2_20211219T065631.fits,899.821,13.5113,2021B-0435,-25.934,neidL2_20211219T065631.fits,TIC_369534824|2MASS_J01432015+0419172|PLX__363.1|LSPM_J0143+0419|ASCC_1096514|UCAC2__33162859|USNO-B1.0_0943-00016573|AC_+03__2259-0|AC_+04__2595-239|CSI+04-01408|G___3-14|G__71-28|GCRV_51952|GEN#_+9.80003014|GEN#_+6.10010070|GJ____70|HIC___8051|HIP___8051|LFT_1851|LHS__1290|LTT_10604|MCC__93|NLTT__5733|PM_01408+0405|TYC___32-1005-1|UBV_M__42923|Zkh__32|[R78b]__77|[RHG95]___319|PLX__363.10|WISEA_J014319.89+041910.0|UCAC4_472-002320|StKM_2-154|PM_J01433+0419|Gaia_DR1_2560771342823697152|WEB__1724|Gaia_DR2_2560771312759450496|Karmn_J01433+043
GJ_699,Mann2015,3228,60,-0.4,0.08,5.09,0.05,N/A,GJ 699|HIP 87937|Gaia DR3 4472832130942575872|StKM 2-1355|MCC 799|TIC 325554331|PLX 4098|LSPM J1757+0441|ASCC 1153178|UCAC2  33428712|2MASS J17574849+0441405|USNO-B1.0 0946-00315199|8pc 549.01|AC2000  146626|BD+04  3561a|CCDM J17578+0441A|CSI+04-17554|CSV   7737|Ci 20 1069|G 140-24|GAT   12|GCRV 10392|GSC 00425-00184|GSC 00425-02502|HIC  87937|IRAS 17553+0438|JP11    18|LFT 1385|LHS    57|LTT 15309|NLTT 45718|NSV  9910|TYC  425-2502-1|UBV   15269|USNO 347|USNO 876|V* V2500 Oph|VVO   6|Zkh 269|[RHG95]  2849|WISEA J175747.94+044323.8|PLX 4098.00|1E 1755.3+0438|NAME Barnard's star|NAME Barnard Star|UCAC4 474-068224|PM J17578+0441N|GEN# +0.00403561|uvby98 000403561|WEB 14849|Gaia DR2 4472832130942575872|Karmn J17578+046|,Gaia DR3 4472832130942575872,TIC 325554331,./library/20240715_specmatch_nir/FITS/neidL2_20220514T102831.fits,899.805,64.0962,2022A-452266,-110.55,neidL2_20220514T102831.fits,TIC_325554331|PLX_4098|LSPM_J1757+0441|ASCC_1153178|UCAC2__33428712|2MASS_J17574849+0441405|USNO-B1.0_0946-00315199|8pc_549.01|AC2000__146626|BD+04__3561a|CCDM_J17578+0441A|CSI+04-17554|CSV___7737|Ci_20_1069|G_140-24|GAT___12|GCRV_10392|GJ___699|GSC_00425-00184|GSC_00425-02502|HIC__87937|HIP__87937|IRAS_17553+0438|JP11____18|LFT_1385|LHS____57|LTT_15309|MCC_799|NLTT_45718|NSV__9910|TYC__425-2502-1|UBV___15269|USNO_347|USNO_876|V*_V2500_Oph|VVO___6|Zkh_269|[RHG95]__2849|WISEA_J175747.94+044323.8|PLX_4098.00|1E_1755.3+0438|NAME_Barnard's_star|NAME_Barnard_Star|UCAC4_474-068224|StKM_2-1355|PM_J17578+0441N|GEN#_+0.00403561|uvby98_000403561|WEB_14849|Gaia_DR2_4472832130942575872|Karmn_J17578+046
GJ_1148,Mann,3304,61,0.07,0.08,4.814,0.053,N/A,GJ 1148|HIP 57050|Gaia DR3 772430527947893632|TIC 115869504|WISEA J114144.08+424506.2|Gaia DR2 772430527947893632|TYC 3016-1877-1|PM J11417+4245|UCAC4 664-056772|LSPM J1141+4245|ASCC  408337|UCAC2  46566670|G 122-40|HIC  57050|LFT  836|LHS  2443|LTT 13210|NLTT 28266|Ross 1003|USNO 725|[RHG95]  1827|2MASS J11414471+4245072|USNO-B1.0 1327-00279297|PLX 2703.01|HAT 141-00143|Gaia DR1 772430901610348032|Karmn J11417+427|,Gaia DR3 772430527947893632,TIC 115869504,./library/20240715_specmatch_nir/FITS/neidL2_20220515T080022.fits,899.738,12.2934,2022A-452266,-9.0539,neidL2_20220515T080022.fits,TIC_115869504|WISEA_J114144.08+424506.2|Gaia_DR2_772430527947893632|TYC_3016-1877-1|PM_J11417+4245|UCAC4_664-056772|LSPM_J1141+4245|ASCC__408337|UCAC2__46566670|G_122-40|GJ__1148|HIC__57050|HIP__57050|LFT__836|LHS__2443|LTT_13210|NLTT_28266|Ross_1003|USNO_725|[RHG95]__1827|2MASS_J11414471+4245072|USNO-B1.0_1327-00279297|PLX_2703.01|HAT_141-00143|Gaia_DR1_772430901610348032|Karmn_J11417+427
GJ_701,Mann,3614,60,-0.22,0.08,4.788,0.048,N/A,GJ 701|HIP 88574|AP J18050755-0301523|1RXS J180507.9-030152|Gaia DR3 4177731838628465408|MCC 176|Karmn J18051-030|TIC 41378014|PLX 4133|8pc 128.28|BD-03  4233|DO  4566|G  21-1|G  20-22|GCRV 10525|GEN# +1.00165222|HD 165222|HIC  88574|IRAS 18024-0302|JP11  2924|L  991-14|LFT 1389|LHS  3356|LPM 667|LTT  7180|NLTT 45883|NSV 10167|PM 18025-0302|PPM 201375|SAO 142072|TYC 5100-282-1|UBV   15372|UGP 443|VVO 182|YZ  93  6055|YZC 17  6055|Zkh 270|[RHG95]  2859|2MASS J18050755-0301523|UCAC2  30729179|PLX 4133.00|WISEA J180507.97-030156.2|UCAC4 435-075468|PM J18051-0301|WEB 14999|Gaia DR2 4177731838628465408|,Gaia DR3 4177731838628465408,HD 165222,./library/20240715_specmatch_nir/FITS/neidL2_20220516T110132.fits,899.804,80.5866,2022A-452266,32.6265,neidL2_20220516T110132.fits,TIC_41378014|PLX_4133|8pc_128.28|BD-03__4233|DO__4566|G__21-1|G__20-22|GCRV_10525|GEN#_+1.00165222|GJ___701|HD_165222|HIC__88574|HIP__88574|IRAS_18024-0302|JP11__2924|L__991-14|LFT_1389|LHS__3356|LPM_667|LTT__7180|MCC_176|NLTT_45883|NSV_10167|PM_18025-0302|PPM_201375|SAO_142072|TYC_5100-282-1|UBV___15372|UGP_443|VVO_182|YZ__93__6055|YZC_17__6055|Zkh_270|[RHG95]__2859|2MASS_J18050755-0301523|UCAC2__30729179|PLX_4133.00|WISEA_J180507.97-030156.2|UCAC4_435-075468|PM_J18051-0301|WEB_14999|Gaia_DR2_4177731838628465408
GJ_649,Von Braun,3590,45,-0.04,0.1,4.75,0.02,N/A,GJ 649|HIP 83043|Gaia DR3 4572835535272627712|StKM 2-1286|MCC 785|TIC 236743275|PLX 3857|LSPM J1658+2544|ASCC  694128|UCAC2  40870437|USNO-B1.0 1157-00248752|BD+25  3173|Ci 20 1014|G 169-38|G 170-6|GCRV  9782|GEN# +0.02503173|HIC  83043|IRAS 16560+2549|LFT 1313|LHS  3257|LTT 15016|NLTT 43922|PM 16561+2550|Ross  860|TYC 2063-479-1|UBV   14365|UBV M   1485|VVO  44|Zkh 239|[RHG95]  2673|2MASS J16580884+2544392|PLX 3857.00|WISEA J165808.75+254433.6|NSV 20873|Gaia DR2 4572835535272064768|UCAC4 579-054393|PM J16581+2544|Gaia DR1 4572835737133711744|WEB 14039|Karmn J16581+257|,Gaia DR3 4572835535272627712,TIC 236743275,./library/20240715_specmatch_nir/FITS/neidL2_20220610T070906.fits,899.853,66.9914,2022A-452266,4.28968,neidL2_20220610T070906.fits,TIC_236743275|PLX_3857|LSPM_J1658+2544|ASCC__694128|UCAC2__40870437|USNO-B1.0_1157-00248752|BD+25__3173|Ci_20_1014|G_169-38|G_170-6|GCRV__9782|GEN#_+0.02503173|GJ___649|HIC__83043|HIP__83043|IRAS_16560+2549|LFT_1313|LHS__3257|LTT_15016|MCC_785|NLTT_43922|PM_16561+2550|Ross__860|TYC_2063-479-1|UBV___14365|UBV_M___1485|VVO__44|Zkh_239|[RHG95]__2673|2MASS_J16580884+2544392|PLX_3857.00|WISEA_J165808.75+254433.6|NSV_20873|Gaia_DR2_4572835535272064768|UCAC4_579-054393|StKM_2-1286|PM_J16581+2544|Gaia_DR1_4572835737133711744|WEB_14039|Karmn_J16581+257
GJ_458.2,Mann,3900,61,0.14,0.08,4.633,0.056,N/A,GJ 9399|GJ 458.2|HIP 59748|Gaia DR3 1545795533411708032|StKM 2-807|MCC 640|TIC 53580461|LSPM J1215+4843|ASCC  329726|USNO-B1.0 1387-00223528|BD+49  2126|G 198-37|GSC 03455-00111|HIC  59748|NGP 49  71|NLTT 30123|TYC 3455-111-1|[RHG95]  1925|2MASS J12150885+4843574|Pul -3  910088|UCAC4 694-052092|PM J12151+4843|Gaia DR1 1545795529110395136|Gaia DR2 1545795529110395136|,Gaia DR3 1545795533411708032,TIC 53580461,./library/20240715_specmatch_nir/FITS/neidL2_20220515T082008.fits,899.784,30.1584,2022A-452266,-14.112,neidL2_20220515T082008.fits,TIC_53580461|LSPM_J1215+4843|ASCC__329726|USNO-B1.0_1387-00223528|BD+49__2126|G_198-37|GJ___458.2|GSC_03455-00111|HIC__59748|HIP__59748|MCC_640|NGP_49__71|NLTT_30123|TYC_3455-111-1|[RHG95]__1925|2MASS_J12150885+4843574|Pul_-3__910088|GJ__9399|UCAC4_694-052092|StKM_2-807|PM_J12151+4843|Gaia_DR1_1545795529110395136|Gaia_DR2_1545795529110395136
GJ_393,Mann,3548,60,-0.18,0.08,4.821,0.05,N/A,GJ 393|HIP 51317|AP J10285555+0050275|Gaia DR3 3855208897392952192|StKM 2-642|Karmn J10289+008|TIC 277888583|PLX 2456|LSPM J1028+0050|ASCC 1133482|UCAC2  32036240|USNO-B1.0 0908-00191111|8pc 138.29|AG+01 1298|BD+01  2447|Ci 20  580|G  55-24|G 162-60|GCRV  6576|GEN# +0.00102447|GSC 00246-01068|HIC  51317|JP11     7|LFT  719|LHS  2272|LTT 12805|MCC 127|NAME NC 28|NLTT 24467|PPM 156874|Ross  446|TYC  246-1068-1|UBV    9694|UBV M    156|UBV    9672|VVO 262|Zkh 142|[ATZ98] C060|[RHG95]  1642|2MASS J10285555+0050275|PLX 2456.00|1RXS J102855.9+005023|RX J1028.9+0050|ASAS J102856+0050.5|WISEA J102855.13+005020.1|UCAC4 455-050081|PM J10289+0050|WEB  9373|Gaia DR2 3855208897392952192|,Gaia DR3 3855208897392952192,TIC 277888583,./library/20240715_specmatch_nir/FITS/neidL2_20220222T064810.fits,899.773,27.8654,2022A-452266,8.29637,neidL2_20220222T064810.fits,TIC_277888583|PLX_2456|LSPM_J1028+0050|ASCC_1133482|UCAC2__32036240|USNO-B1.0_0908-00191111|8pc_138.29|AG+01_1298|BD+01__2447|Ci_20__580|G__55-24|G_162-60|GCRV__6576|GEN#_+0.00102447|GJ___393|GSC_00246-01068|HIC__51317|HIP__51317|JP11_____7|LFT__719|LHS__2272|LTT_12805|MCC_127|NAME_NC_28|NLTT_24467|PPM_156874|Ross__446|TYC__246-1068-1|UBV____9694|UBV_M____156|UBV____9672|VVO_262|Zkh_142|[ATZ98]_C060|[RHG95]__1642|2MASS_J10285555+0050275|PLX_2456.00|1RXS_J102855.9+005023|RX_J1028.9+0050|ASAS_J102856+0050.5|WISEA_J102855.13+005020.1|UCAC4_455-050081|StKM_2-642|PM_J10289+0050|GALEX_6381928538042272148|WEB__9373|Gaia_DR2_3855208897392952192
