Name,Teff,e_Teff,R*,e_R*,log(g),e_log(g),[Fe/H],e_[Fe/H],M*,e_M*,logA,e_logA,plx,Vmag,Notes,Source,RA,Dec
HD 100623,5140,60,0.72,0.04,4.56,0.05,-0.36,0.05,0.75,0.04,9.81,0.5,104.6,6.0,A1,Yee,173.62285999999997,-32.831339444444446
HD 101904,5883,60,1.54,0.19,4.1,0.05,0.12,0.05,1.12,0.09,9.8,0.11,12.5,8.2,A1,Yee,176.0011691666666,64.9641975
HD 102195,5277,60,0.85,0.05,4.5,0.05,0.1,0.05,0.89,0.04,9.74,0.49,34.0,8.1,A1,Yee,176.42622,2.8214788888888886
HD 102444,5227,60,2.67,0.39,3.6,0.05,-0.0,0.05,1.02,0.21,9.98,0.27,8.5,8.0,A1,Yee,176.881095,-5.263620555555556
HD 102956,4985,60,3.79,0.47,3.38,0.05,0.26,0.05,1.3,0.15,9.7,0.17,8.1,7.9,A1,Yee,177.84379499999997,57.64073388888889
HD 103459,5722,60,1.71,0.21,4.03,0.05,0.24,0.05,1.15,0.12,9.81,0.15,16.0,7.6,A2,Yee,178.71649916666667,-1.4515155555555554
HD 103890,6120,60,1.43,0.16,4.19,0.05,0.03,0.05,1.17,0.07,9.63,0.09,13.7,8.0,A1,Yee,179.44244374999997,-8.275278333333334
HD 104437,5761,60,1.03,0.09,4.4,0.05,0.17,0.05,1.03,0.04,9.64,0.35,16.6,8.6,A1,Yee,180.42002875,39.58658805555556
HD 106088,5470,60,2.07,0.26,3.87,0.05,0.34,0.05,1.23,0.12,9.75,0.13,10.3,8.4,A1,Yee,183.1027108333333,19.80102138888889
HD 107181,5628,60,1.64,0.21,4.05,0.05,0.31,0.05,1.13,0.12,9.86,0.15,12.5,8.4,A1,Yee,184.86391166666664,-26.107375555555556
HD 108189,5373,60,2.89,0.41,3.56,0.05,0.03,0.05,1.15,0.21,9.81,0.23,7.5,7.7,A1,Yee,186.41909416666664,-0.28217805555555553
HD 108863,4878,60,5.59,0.66,3.08,0.05,0.2,0.05,1.37,0.14,9.61,0.15,5.8,7.7,A1,Yee,187.5829575,21.94824388888889
HD 109159,5151,60,2.57,0.32,3.6,0.05,-0.08,0.05,0.93,0.13,10.09,0.17,9.7,8.0,A1,Yee,188.17179249999998,-17.220681666666664
